iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765833074.4782016,2025-12-15 21:11:14,SHIP500-B02-T01508,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.408563,False,1
1,1765833086.6965714,2025-12-15 21:11:26,SHIP500-B02-T01509,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.425968,False,1
1,1765833086.6965714,2025-12-15 21:11:26,SHIP500-B02-T01509,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.425968,False,1
1,1765833086.6965714,2025-12-15 21:11:26,SHIP500-B02-T01509,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.425968,False,1
1,1765833098.9118958,2025-12-15 21:11:38,SHIP500-B02-T01510,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.413216,False,0
1,1765833111.1165862,2025-12-15 21:11:51,SHIP500-B02-T01511,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.397752,False,0
1,1765833123.3330162,2025-12-15 21:12:03,SHIP500-B02-T01512,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.409295,False,0
1,1765833135.5232532,2025-12-15 21:12:15,SHIP500-B02-T01513,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.415191,False,0
1,1765833147.7204366,2025-12-15 21:12:27,SHIP500-B02-T01514,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.422177,False,1
1,1765833147.7204366,2025-12-15 21:12:27,SHIP500-B02-T01514,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.422177,False,1
1,1765833147.7204366,2025-12-15 21:12:27,SHIP500-B02-T01514,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.422177,False,1
1,1765833159.93932,2025-12-15 21:12:39,SHIP500-B02-T01515,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.410516,False,1
1,1765833159.93932,2025-12-15 21:12:39,SHIP500-B02-T01515,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.410516,False,1
1,1765833159.93932,2025-12-15 21:12:39,SHIP500-B02-T01515,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.410516,False,1
1,1765833172.1441245,2025-12-15 21:12:52,SHIP500-B02-T01516,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.403723,False,0
1,1765833184.3525548,2025-12-15 21:13:04,SHIP500-B02-T01517,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.397752,False,1
1,1765833184.3525548,2025-12-15 21:13:04,SHIP500-B02-T01517,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.397752,False,1
1,1765833184.3525548,2025-12-15 21:13:04,SHIP500-B02-T01517,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.397752,False,1
1,1765833196.53787,2025-12-15 21:13:16,SHIP500-B02-T01518,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.403963,False,0
1,1765833208.7386646,2025-12-15 21:13:28,SHIP500-B02-T01519,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.398939,False,1
1,1765833208.7386646,2025-12-15 21:13:28,SHIP500-B02-T01519,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.398939,False,1
1,1765833208.7386646,2025-12-15 21:13:28,SHIP500-B02-T01519,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.398939,False,1
1,1765833220.9212391,2025-12-15 21:13:40,SHIP500-B02-T01520,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.396333,False,0
1,1765833233.130004,2025-12-15 21:13:53,SHIP500-B02-T01521,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.401803,False,1
1,1765833233.130004,2025-12-15 21:13:53,SHIP500-B02-T01521,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.401803,False,1
1,1765833233.130004,2025-12-15 21:13:53,SHIP500-B02-T01521,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.401803,False,1
1,1765833245.34226,2025-12-15 21:14:05,SHIP500-B02-T01522,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.395625,False,0
1,1765833257.5321329,2025-12-15 21:14:17,SHIP500-B02-T01523,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.406136,False,0
1,1765833269.6917903,2025-12-15 21:14:29,SHIP500-B02-T01524,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.407834,False,0
