alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_pms_dg2_start_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_fuel_transfer_pump_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_fuel_transfer_pump_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_fuel_transfer_pump_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_fuel_transfer_pump_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_gearbox_cooling_pump_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F09,Gearbox Fault
engine/alarm_pms_gearbox_cooling_pump_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F09,Gearbox Fault
engine/alarm_pms_gearbox_cooling_pump_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F09,Gearbox Fault
engine/alarm_pms_gearbox_cooling_pump_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F09,Gearbox Fault
engine/alarm_pms_left_main_board_backup_pump_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_left_main_board_backup_pump_running,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_left_main_board_pms_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_left_main_board_pre_trip_and_emergency_cut,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_left_main_board_public_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_load_distribution_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_main_busbar_frequency_abnormal,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_main_busbar_voltage_abnormal,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_priority_trip_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_priority_trip_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_right_main_board_backup_pump_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_right_main_board_backup_pump_running,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_right_main_board_pms_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_right_main_board_pre_trip_and_emergency_cut,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_right_main_board_public_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pollution_protection_device_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_quick_closure_valve_low_pressure,6403,99.984,always_on,REMOVE,"active 100.0% of time (constant offset, mode/status)",F00,Other / General Fault
engine/alarm_radio_charge_discharge_board_battery_voltage_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_radio_charge_discharge_board_discharge,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_radio_charge_discharge_board_insulation_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
